Time,2w,3w,4w,ldv,hdv,bus,tractor
18/12/2025,162,38,3,2,1,,
18/12/2025,81,29,1,3,2,,
18/12/2025,47,14,0,2,1,,
18/12/2025,28,7,0,1,0,,
18/12/2025,17,3,0,0,1,,
18/12/2025,19,4,1,1,0,,
18/12/2025,52,27,2,1,1,,
18/12/2025,134,201,7,26,18,,
18/12/2025,248,391,14,47,39,,
18/12/2025,382,681,18,51,57,,
18/12/2025,642,1198,17,66,46,,
18/12/2025,703,1462,14,75,92,,
18/12/2025,721,1129,11,89,54,,
18/12/2025,856,904,6,83,48,,
18/12/2025,748,821,13,49,58,,
18/12/2025,631,889,6,64,56,,
18/12/2025,652,947,9,57,82,,
18/12/2025,639,981,10,76,74,,
18/12/2025,732,1087,6,81,71,,
18/12/2025,1098,829,17,48,35,,
18/12/2025,984,603,22,34,21,,
18/12/2025,816,392,21,26,17,,
18/12/2025,523,261,5,20,13,,
18/12/2025,438,171,7,11,12,,
